source1_entity_id	candidate_entity_id	candidate_source
S1-714132312	S2-638268338	S2
S1-714132312	S2-317480348	S2
S1-714132312	S2-350628155	S2
S1-714132312	S3-521921590	S3
S1-714132312	S3-975969666	S3
S1-714132312	S3-191842349	S3
S1-106407869	S2-84473557	S2
S1-106407869	S2-615015424	S2
S1-106407869	S2-878037834	S2
S1-106407869	S3-8200545	S3
S1-106407869	S3-323904182	S3
S1-106407869	S3-218566871	S3
S1-156285671	S2-583840796	S2
S1-156285671	S2-282913892	S2
S1-156285671	S2-584492860	S2
S1-156285671	S3-180087778	S3
S1-156285671	S3-712130770	S3
S1-156285671	S3-183674905	S3
S1-689823050	S2-666652825	S2
S1-689823050	S2-615015424	S2
S1-689823050	S2-416362828	S2
S1-689823050	S3-746507879	S3
S1-689823050	S3-7528752	S3
S1-689823050	S3-603130097	S3
S1-921369899	S2-89663826	S2
S1-921369899	S2-823489243	S2
S1-921369899	S2-698031192	S2
S1-921369899	S3-175443554	S3
S1-921369899	S3-603130097	S3
S1-921369899	S3-797381132	S3
S1-481669221	S2-750187901	S2
S1-481669221	S2-127971493	S2
S1-481669221	S2-84473557	S2
S1-481669221	S3-960416326	S3
S1-481669221	S3-775447058	S3
S1-481669221	S3-276427681	S3
S1-909865979	S2-470617752	S2
S1-909865979	S2-393698052	S2
S1-909865979	S2-550625611	S2
S1-909865979	S3-127741306	S3
S1-909865979	S3-29698559	S3
S1-909865979	S3-856022427	S3
S1-280204013	S2-576201028	S2
S1-280204013	S2-59790476	S2
S1-280204013	S2-166809876	S2
S1-280204013	S3-268628840	S3
S1-280204013	S3-50374457	S3
S1-280204013	S3-923490882	S3
S1-742053041	S2-33467562	S2
S1-742053041	S2-905827553	S2
S1-742053041	S2-268861424	S2
S1-742053041	S3-610536355	S3
S1-742053041	S3-679867068	S3
S1-742053041	S3-888634508	S3
S1-913506265	S2-166809876	S2
S1-913506265	S2-584492860	S2
S1-913506265	S2-108012128	S2
S1-913506265	S3-775447058	S3
S1-913506265	S3-603130097	S3
S1-913506265	S3-316083080	S3
S1-479574617	S2-275110987	S2
S1-479574617	S2-476476786	S2
S1-479574617	S2-256206990	S2
S1-479574617	S3-516583759	S3
S1-479574617	S3-328218942	S3
S1-479574617	S3-255150389	S3
S1-680637447	S2-634571997	S2
S1-680637447	S2-654270940	S2
S1-680637447	S2-627682672	S2
S1-680637447	S3-521921590	S3
S1-680637447	S3-18976400	S3
S1-680637447	S3-268657388	S3
S1-870190130	S2-51615186	S2
S1-870190130	S2-759764530	S2
S1-870190130	S2-585589926	S2
S1-870190130	S3-746507879	S3
S1-870190130	S3-736494730	S3
S1-870190130	S3-643284918	S3
S1-365170694	S2-768679434	S2
S1-365170694	S2-292567038	S2
S1-365170694	S2-782078221	S2
S1-365170694	S3-447201746	S3
S1-365170694	S3-972533463	S3
S1-365170694	S3-668629842	S3
S1-778640743	S2-158086966	S2
S1-778640743	S2-613647075	S2
S1-778640743	S2-782078221	S2
S1-778640743	S3-937510720	S3
S1-778640743	S3-464088678	S3
S1-778640743	S3-430128111	S3
S1-378191895	S2-388543405	S2
S1-378191895	S2-913930320	S2
S1-378191895	S2-550625611	S2
S1-378191895	S3-191842349	S3
S1-378191895	S3-70211138	S3
S1-378191895	S3-183674905	S3
S1-684974736	S2-749392034	S2
S1-684974736	S2-91100310	S2
S1-684974736	S2-410411373	S2
S1-684974736	S3-256697494	S3
S1-684974736	S3-788075081	S3
S1-684974736	S3-485517879	S3
S1-750279127	S2-450192914	S2
S1-750279127	S2-541548865	S2
S1-750279127	S2-786671109	S2
S1-750279127	S3-355846923	S3
S1-750279127	S3-753179170	S3
S1-750279127	S3-526709055	S3
S1-209281220	S2-647447093	S2
S1-209281220	S2-416136682	S2
S1-209281220	S2-562037907	S2
S1-209281220	S3-170975522	S3
S1-209281220	S3-8200545	S3
S1-209281220	S3-877919199	S3
S1-550154910	S2-923816782	S2
S1-550154910	S2-507168266	S2
S1-550154910	S2-976793661	S2
S1-550154910	S3-505888372	S3
S1-550154910	S3-294208174	S3
S1-550154910	S3-385365835	S3
S1-897975128	S2-910351373	S2
S1-897975128	S2-378851466	S2
S1-897975128	S2-860947028	S2
S1-897975128	S3-255150389	S3
S1-897975128	S3-175443554	S3
S1-897975128	S3-580736465	S3
S1-704604312	S2-886358300	S2
S1-704604312	S2-938065576	S2
S1-704604312	S2-434748052	S2
S1-704604312	S3-316083080	S3
S1-704604312	S3-374810425	S3
S1-704604312	S3-688013575	S3
S1-628750886	S2-630672871	S2
S1-628750886	S2-800542765	S2
S1-628750886	S2-893716684	S2
S1-628750886	S3-819001322	S3
S1-628750886	S3-421753436	S3
S1-628750886	S3-716865471	S3
S1-714038427	S2-666652825	S2
S1-714038427	S2-562037907	S2
S1-714038427	S2-141980176	S2
S1-714038427	S3-389830698	S3
S1-714038427	S3-82573141	S3
S1-714038427	S3-807090678	S3
S1-426194890	S2-192345572	S2
S1-426194890	S2-343566512	S2
S1-426194890	S2-269300058	S2
S1-426194890	S3-560657213	S3
S1-426194890	S3-580736465	S3
S1-426194890	S3-923490882	S3
S1-122385784	S2-234200980	S2
S1-122385784	S2-682305910	S2
S1-122385784	S2-938316135	S2
S1-122385784	S3-263568414	S3
S1-122385784	S3-179099570	S3
S1-122385784	S3-1062100	S3
S1-540642140	S2-742018880	S2
S1-540642140	S2-510842397	S2
S1-540642140	S2-268861424	S2
S1-540642140	S3-61589354	S3
S1-540642140	S3-652287374	S3
S1-540642140	S3-369430171	S3
S1-123475953	S2-322554268	S2
S1-123475953	S2-911310489	S2
S1-123475953	S2-592412285	S2
S1-123475953	S3-454284148	S3
S1-123475953	S3-505888372	S3
S1-123475953	S3-8200545	S3
S1-444801830	S2-158086966	S2
S1-444801830	S2-185241768	S2
S1-444801830	S2-260494879	S2
S1-444801830	S3-776030941	S3
S1-444801830	S3-485517879	S3
S1-444801830	S3-50281059	S3
S1-502376041	S2-227155379	S2
S1-502376041	S2-199021860	S2
S1-502376041	S2-342790091	S2
S1-502376041	S3-853414998	S3
S1-502376041	S3-70211138	S3
S1-502376041	S3-526395226	S3
S1-594021398	S2-600460285	S2
S1-594021398	S2-649702926	S2
S1-594021398	S2-809665812	S2
S1-594021398	S3-385365835	S3
S1-594021398	S3-739484686	S3
S1-594021398	S3-746507879	S3
S1-261170522	S2-89663826	S2
S1-261170522	S2-634571997	S2
S1-261170522	S2-357438552	S2
S1-261170522	S3-739484686	S3
S1-261170522	S3-159233685	S3
S1-261170522	S3-323904182	S3
S1-466641145	S2-975659148	S2
S1-466641145	S2-634571997	S2
S1-466641145	S2-793482283	S2
S1-466641145	S3-764653606	S3
S1-466641145	S3-603130097	S3
S1-466641145	S3-967822899	S3
S1-99245709	S2-506313032	S2
S1-99245709	S2-185241768	S2
S1-99245709	S2-449438476	S2
S1-99245709	S3-915560653	S3
S1-99245709	S3-806209375	S3
S1-99245709	S3-719297797	S3
S1-339015166	S2-697514180	S2
S1-339015166	S2-247144607	S2
S1-339015166	S2-177873237	S2
S1-339015166	S3-75604340	S3
S1-339015166	S3-695502221	S3
S1-339015166	S3-276427681	S3
S1-614259237	S2-595491693	S2
S1-614259237	S2-22034959	S2
S1-614259237	S2-698031192	S2
S1-614259237	S3-837926466	S3
S1-614259237	S3-630998672	S3
S1-614259237	S3-797337828	S3
S1-385801270	S2-917258438	S2
S1-385801270	S2-223826524	S2
S1-385801270	S2-530061167	S2
S1-385801270	S3-964553985	S3
S1-385801270	S3-310059196	S3
S1-385801270	S3-477050170	S3
S1-334672926	S2-905827553	S2
S1-334672926	S2-578484139	S2
S1-334672926	S2-860947028	S2
S1-334672926	S3-7528752	S3
S1-334672926	S3-191842349	S3
S1-334672926	S3-8200545	S3
S1-717749279	S2-591078525	S2
S1-717749279	S2-231137367	S2
S1-717749279	S2-888162848	S2
S1-717749279	S3-477050170	S3
S1-717749279	S3-22088661	S3
S1-717749279	S3-578512303	S3
S1-564662660	S2-911310489	S2
S1-564662660	S2-917258438	S2
S1-564662660	S2-956479781	S2
S1-564662660	S3-82573141	S3
S1-564662660	S3-184785497	S3
S1-564662660	S3-960416326	S3
S1-41643447	S2-554899730	S2
S1-41643447	S2-550697952	S2
S1-41643447	S2-177873237	S2
S1-41643447	S3-967822899	S3
S1-41643447	S3-198009537	S3
S1-41643447	S3-691294985	S3
S1-581360597	S2-94145774	S2
S1-581360597	S2-357438552	S2
S1-581360597	S2-592412285	S2
S1-581360597	S3-775447058	S3
S1-581360597	S3-374810425	S3
S1-581360597	S3-96795509	S3
S1-946184931	S2-550625611	S2
